City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Ilebo,CD,68.11,scattered clouds,-4.3167,20.5833,Hôtel BUMAK
274,Oranjestad,AW,79.92,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
276,Vao,NC,75.52,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
279,Buala,SB,83.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
281,Bondo,CD,68.14,overcast clouds,3.8146,23.6866,
288,Codrington,AU,66.27,clear sky,-38.2667,141.9667,
290,Bambous Virieux,MU,69.22,few clouds,-20.3428,57.7575,Casa Tia Villa
297,Ilhabela,BR,69.76,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
298,Tura,IN,67.26,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
300,Algiers,DZ,67.82,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
301,Ormara,PK,77.11,clear sky,25.2088,64.6357,Kenara Colony House for Rent
302,Muisne,EC,73.76,overcast clouds,0.6,-80.0333,Quinta Samay
303,Haapiti,PF,82.13,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
307,Cidreira,BR,66.72,few clouds,-30.1811,-50.2056,Hotel Castelo
308,Marawi,PH,73.13,overcast clouds,7.9986,124.2928,Derogongan Residence
309,Grand-Santi,GF,75.78,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
313,Rajmahal,IN,69.06,clear sky,25.05,87.8333,Marrage hall (विवाह भवन)
314,Marsala,IT,66.94,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
315,Cockburn Town,TC,81.66,clear sky,21.4612,-71.1419,Osprey Beach Hotel
316,Kapoeta,SS,76.53,light rain,4.7717,33.5903,Lokoges PHCC
317,Namatanai,PG,84.92,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
318,Muli,MV,81.88,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
323,Tual,ID,81.82,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
324,Saint-Louis,SN,82.76,few clouds,16.3333,-15.0,
325,Nabire,ID,83.25,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
334,Kisangani,CD,68.22,light rain,0.5167,25.2,Grand Ramela Hotel
337,Malakal,SS,73.8,clear sky,9.5334,31.6605,Nile Palace Hotel
339,Itupiranga,BR,76.62,broken clouds,-5.1347,-49.3267,Hotel Panorama
342,Mersing,MY,78.57,heavy intensity rain,2.4312,103.8405,Timotel Hotel
345,Moerai,PF,73.08,few clouds,-22.4333,-151.3333,Le Manotel
346,Meulaboh,ID,77.76,overcast clouds,4.1363,96.1285,Kost Pria
