City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Qaanaaq,GL,77.484,-69.3632,-16.22,71,4,7.31,clear sky
153,Marsa Matruh,EG,31.3525,27.2453,65.01,42,0,15.48,clear sky
154,Victoria,HK,22.2855,114.1577,82.04,82,1,5.01,clear sky
155,Homer,US,59.6425,-151.5483,40.8,82,22,1.99,few clouds
156,Najran,SA,17.4924,44.1277,59.31,36,0,0.67,clear sky
157,Sarlat-La-Caneda,FR,44.889,1.2166,45.81,97,4,4.56,clear sky
158,San Antonio,US,29.4241,-98.4936,54.12,42,100,11.5,overcast clouds
159,Yeppoon,AU,-23.1333,150.7333,80.38,53,50,11.27,scattered clouds
160,Parabel,RU,58.6978,81.4825,-11.79,97,22,6.11,few clouds
161,Popondetta,PG,-8.7537,148.2534,93.78,46,98,7.27,overcast clouds
162,Carnarvon,AU,-24.8667,113.6333,67.5,57,96,19.15,overcast clouds
163,Ponta Do Sol,PT,32.6667,-17.1,68.72,75,15,6.42,few clouds
164,New Norfolk,AU,-42.7826,147.0587,65.88,46,25,3.0,scattered clouds
165,Dikson,RU,73.5069,80.5464,0.05,94,100,23.78,light snow
166,Vestmannaeyjar,IS,63.4427,-20.2734,45.93,85,100,20.85,light rain
167,Nanortalik,GL,60.1432,-45.2371,22.82,72,100,3.91,overcast clouds
168,Labuhan,ID,-6.8844,112.2051,82.44,68,100,8.37,overcast clouds
169,Matara,LK,5.9485,80.5353,77.58,83,75,1.92,broken clouds
170,Hithadhoo,MV,-0.6,73.0833,81.18,75,9,13.82,clear sky
171,Eregli,TR,37.5133,34.0467,44.94,72,26,0.22,scattered clouds
172,Bonnyville,CA,54.2668,-110.735,9.34,85,89,9.33,overcast clouds
173,Kholmogory,RU,64.2229,41.656,20.84,95,92,4.03,overcast clouds
174,Luderitz,NA,-26.6481,15.1594,58.48,63,62,13.22,broken clouds
175,Huicungo,PE,-7.2833,-76.8,67.23,94,72,1.16,broken clouds
176,Daru,PG,-9.0763,143.2092,84.0,77,100,3.62,overcast clouds
177,Halden,NO,59.1226,11.3871,34.23,74,100,11.12,overcast clouds
178,Pokhara,NP,28.2333,83.9833,59.74,55,5,1.92,clear sky
179,Haines Junction,CA,60.7522,-137.5108,9.63,94,15,1.3,few clouds
180,Koumac,NC,-20.5667,164.2833,81.43,66,9,10.69,clear sky
181,Srikakulam,IN,18.3,83.9,69.13,62,100,6.87,overcast clouds
182,Mandalgovi,MN,45.7625,106.2708,30.97,33,100,11.34,overcast clouds
183,Pauini,BR,-7.7136,-66.9764,73.8,99,100,2.48,overcast clouds
184,Kavaratti,IN,10.5669,72.642,82.24,64,11,9.15,few clouds
185,Central Point,US,42.376,-122.9164,47.71,64,0,0.0,clear sky
186,Coari,BR,-4.085,-63.1414,73.87,98,100,2.8,overcast clouds
187,Vitim,RU,59.4511,112.5578,10.4,95,100,4.7,light snow
188,Doraha,IN,30.8167,76.0167,57.31,56,0,1.19,clear sky
189,Northam,GB,51.0333,-4.2167,51.62,79,38,18.95,light rain
190,Hongjiang,CN,27.11,109.9956,56.95,93,99,2.55,overcast clouds
191,San Patricio,US,28.017,-97.5169,54.84,58,100,6.38,overcast clouds
192,Tafresh,IR,34.692,50.013,41.5,86,5,5.66,clear sky
193,Logansport,US,40.7545,-86.3567,32.74,79,100,14.97,overcast clouds
194,Carmen,MX,18.6333,-91.8333,78.84,83,40,3.44,scattered clouds
195,Nantucket,US,41.2835,-70.0995,44.71,54,20,13.8,few clouds
196,Tzucacab,MX,20.0667,-89.05,74.35,86,90,4.68,overcast clouds
197,Marmora,IT,44.4583,7.094,39.67,88,93,7.83,overcast clouds
198,Kandi,BJ,11.1342,2.9386,70.59,34,5,4.59,clear sky
199,Moron,AR,-34.6534,-58.6198,73.99,71,96,12.84,overcast clouds
200,Sao Filipe,CV,14.8961,-24.4956,78.71,76,100,2.39,overcast clouds
201,Maputo,MZ,-25.9653,32.5892,73.51,85,1,4.54,clear sky
202,Asau,RO,46.4333,26.4,33.28,88,94,4.43,overcast clouds
203,Mount Gambier,AU,-37.8333,140.7667,71.06,42,99,8.75,overcast clouds
204,Urucuca,BR,-14.5931,-39.2844,70.56,99,100,0.58,light rain
205,Faanui,PF,-16.4833,-151.75,79.52,76,17,7.65,light rain
206,Aklavik,CA,68.2191,-135.0107,10.11,81,63,5.37,broken clouds
207,Yaan,NG,7.3833,8.5667,76.17,67,82,4.5,broken clouds
208,Bayir,TR,37.2687,28.2167,55.92,93,97,7.4,overcast clouds
209,Cuenca,EC,-2.8833,-78.9833,50.23,92,65,1.1,broken clouds
210,Airai,TL,-8.9266,125.4092,77.0,48,25,1.3,scattered clouds
211,Crotone,IT,39.0851,17.1178,62.38,74,3,6.82,clear sky
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.56,82,33,13.38,scattered clouds
213,Campo Formoso,BR,-10.5075,-40.3214,74.57,67,81,6.85,broken clouds
214,Kodiak,US,57.79,-152.4072,42.31,93,100,8.05,mist
215,Port Hardy,CA,50.6996,-127.4199,43.07,64,11,5.99,few clouds
216,Port Elizabeth,ZA,-33.918,25.5701,63.1,81,100,1.52,overcast clouds
217,Burns Lake,CA,54.2331,-125.7533,18.01,94,52,2.26,broken clouds
218,Hami,CN,42.8,93.45,36.05,66,83,5.88,broken clouds
219,Raga,SS,8.4596,25.678,69.17,32,90,4.05,overcast clouds
220,Soligalich,RU,59.0778,42.2864,17.58,81,9,9.19,clear sky
221,Iqaluit,CA,63.7506,-68.5145,0.43,91,99,3.58,overcast clouds
222,Alofi,NU,-19.0595,-169.9187,80.49,74,40,8.05,scattered clouds
223,Lykhivka,UA,48.6874,33.9228,29.52,93,94,10.58,overcast clouds
224,Koforidua,GH,6.0941,-0.2591,71.56,97,97,2.24,overcast clouds
225,Yelanskiy,RU,56.8419,62.5014,-2.6,96,6,4.74,clear sky
226,Thunder Bay,CA,48.4001,-89.3168,22.89,88,100,4.23,overcast clouds
227,Portland,US,45.5234,-122.6762,44.82,54,0,25.32,clear sky
228,Kiunga,PG,-6.1219,141.2906,89.6,56,98,3.87,overcast clouds
229,Lloydminster,CA,53.2835,-110.0016,8.51,80,95,12.15,overcast clouds
230,Conde,BR,-7.2597,-34.9075,74.82,86,27,5.73,scattered clouds
231,Bengkulu,ID,-3.8004,102.2655,80.49,75,100,8.61,overcast clouds
232,Kijang,KR,35.2442,129.2139,59.27,38,0,5.37,clear sky
233,Kalmunai,LK,7.4167,81.8167,73.96,81,100,9.6,overcast clouds
234,Praia,CV,14.9215,-23.5087,77.54,78,20,20.71,few clouds
235,Zhigansk,RU,66.7697,123.3711,-8.68,98,100,10.36,overcast clouds
236,Dali,CN,25.7,100.1833,54.61,46,0,0.78,clear sky
237,Saldanha,ZA,-33.0117,17.9442,59.14,72,78,14.99,broken clouds
238,Japura,ID,-0.3167,102.35,81.66,69,100,3.74,overcast clouds
239,Olinda,BR,-8.0089,-34.8553,77.04,84,21,8.59,few clouds
240,Brae,GB,60.3964,-1.353,45.16,66,100,33.78,overcast clouds
241,Savannah Bight,HN,16.45,-85.85,82.0,75,44,15.35,moderate rain
242,Chokurdakh,RU,70.6333,147.9167,-11.9,98,100,4.34,overcast clouds
243,Sinnamary,GF,5.3833,-52.95,78.6,83,99,10.96,overcast clouds
244,Lagoa,PT,39.05,-27.9833,60.51,54,51,5.95,broken clouds
245,Saint-Pierre,RE,-21.3393,55.4781,69.91,60,0,8.05,clear sky
246,Helong,CN,42.5397,128.9972,42.03,50,0,10.16,clear sky
247,Mayo,US,38.8876,-76.5119,39.15,62,0,13.8,clear sky
248,Flinders,AU,-34.5833,150.8552,64.26,56,33,12.3,scattered clouds
249,Bojnurd,IR,37.4747,57.329,52.57,50,100,3.83,overcast clouds
250,Ascension,US,30.2169,-90.9001,45.01,74,0,0.0,clear sky
251,Carnduff,CA,49.1667,-101.8009,4.37,89,98,14.18,overcast clouds
252,Boguchany,RU,58.3814,97.4531,-5.84,99,12,2.89,few clouds
253,Samarskoye,RU,46.9336,39.6814,52.84,80,100,30.36,overcast clouds
254,Palmer,US,42.1584,-72.3287,36.01,54,20,10.36,few clouds
255,Lavrentiya,RU,65.5833,-171.0,33.69,92,100,20.71,overcast clouds
256,Atar,MR,20.5169,-13.0499,73.08,18,0,9.1,clear sky
257,Longyearbyen,SJ,78.2186,15.6401,24.64,86,100,3.44,light snow
258,Lagos,NG,6.5833,3.75,74.62,92,51,1.83,moderate rain
259,Sterling,US,39.0062,-77.4286,38.19,60,75,9.22,broken clouds
260,Ponta Delgada,PT,37.7333,-25.6667,59.5,97,14,3.31,few clouds
261,Mon,IN,26.75,95.1,65.57,58,0,0.4,clear sky
262,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,73,12,2.28,few clouds
263,Pangody,RU,65.85,74.4859,14.23,93,100,22.59,light snow
264,Sitka,US,57.0531,-135.33,41.58,50,9,3.76,clear sky
265,Namibe,AO,-15.1961,12.1522,69.3,84,83,4.9,broken clouds
266,Faya,SA,18.3851,42.4509,54.12,74,0,1.79,clear sky
267,Ibra,OM,22.6906,58.5334,65.79,77,0,1.19,clear sky
268,Katobu,ID,-4.9408,122.5276,87.33,63,100,4.34,overcast clouds
269,Wasilla,US,61.5814,-149.4394,38.73,81,0,3.44,clear sky
270,Linqiong,CN,30.4159,103.4609,57.47,78,100,1.5,overcast clouds
271,Ilebo,CD,-4.3167,20.5833,68.11,100,50,2.13,scattered clouds
